id	language_name	language_latitude	language_longitude	language_macroarea	language_family	GB020_ARTDef	GB021_ARTIndef	GB022_ARTPre	GB023_ARTPost	GB026_ADJDiscont	GB027_ComitConjDifferent	GB028_Clusivity	GB030_PRO3PGender	GB031_PRODualAug	GB035_DEMDistContrast	GB036_DEMElevation	GB037_DEMVisNonvis	GB038_DEMClassifier	GB039_NounNUMAllomorph	GB041_NUMSupplNoun	GB042_SingularNoun	GB043_DualBound	GB044_PluralBound	GB046_AssocPlural	GB047_NMZActionState	GB048_NMZAgent	GB049_NMZObject	GB051_GenderSex	GB052_GenderShape	GB053_GenderAnimacy	GB054_GenderPlants	GB057_NUMClassif	GB058_POSSClassifier	GB059_POSSAlienability	GB068_PredAdjLikeV	GB069_AttrAdjLikeV	GB070_CoreCaseNoun	GB071_CoreCasePRO	GB072_ObliqueCaseNoun	GB073_ObliqueCasePRO	GB074_Prepositions	GB075_Postpositions	GB079_VPrefixing	GB080_VSuffixing	GB081_VInfix	GB082_PresentBoundV	GB083_PastBoundV	GB084_FutureBoundV	GB086_AspectBoundV	GB089_S-ArgSfxV	GB090_S-ArgPfxV	GB091_A-ArgSfxV	GB092_A-ArgPfxV	GB093_P-ArgSfxV	GB094_P-ArgPfxV	GB095_CaseSplitTAM	GB096_CaseSplitVerbClass	GB098_CaseSplitPerson	GB099_VSupplPerson	GB103_BenefApplBoundV	GB104_AppInstrBoundV	GB105_CaseRecipientObj	GB107_NEGBoundV	GB108_DirLocBoundV	GB109_VSupplNUM	GB110_VSupplTA	GB111_VerbClass	GB113_TransitivizingBound	GB114_ReflBoundV	GB115_RecipBoundV	GB116_VClassifiers	GB117_CopulaPredNom	GB118_SerialV	GB119_MoodAUX	GB120_AspectAUX	GB121_AUXTense	GB122_VCompounding	GB123_LightVerb	GB124_NounIncorpIntrans	GB126_ExistentialV	GB127_PostureVerbs	GB129_FewVerbs	GB131_TransVInitOrder	GB132_TransVMedOrder	GB133_TransVFinalOrder	GB134_MainSubSameOrder	GB135_SUBClauseInOPosition	GB136_WordOrderFixed	GB137_NEGFinal	GB138_NEGInitial	GB139_NEGProhibitive	GB140_SameNEGLocExistNom	GB146_VControl	GB147_PassiveBoundV	GB148_AntipassiveBoundV	GB149_InverseBoundV	GB150_ClauseChain	GB151_SwitchReference	GB152_SimulSeqBound	GB155_CAUSBound	GB156_CAUSSay	GB158_RedupV	GB159_RedupNoun	GB160_RedupOther	GB165_TrialBound	GB166_PaucalBound	GB167_PROLogophore	GB170_ADJGender	GB171_DEMGender	GB172_ARTGender	GB177_AnimacyBoundV	GB184_AdjNUM	GB185_DEMNum	GB186_ARTNum	GB187_DIMBound	GB188_AUGBound	GB192_GenderPhono	GB196_PRO2PMascFem	GB197_PRO1PMascFem	GB198_NUMGender	GB204_QUANTUniversal	GB250_PredPOSSHabeo	GB252_PredPOSSLoc	GB253_PredPOSSDat	GB254_PredPOSSAdnom	GB256_PredPOSSComitative	GB257_QIntonation	GB260_QWordOrder	GB262_QPartInitial	GB263_QPartFinal	GB264_QPartMedial	GB265_COMPARExceed	GB266_COMPARLoc	GB270_COMPARConjoin	GB273_COMPAROtherMarker	GB275_COMPDegreeBound	GB276_COMPDegreeFree	GB285_QPartVMorph	GB286_QVMorph	GB291_QTone	GB296_Ideophones	GB297_QVNotV	GB298_NEGAux	GB299_NEGPart	GB300_VSupplGive	GB301_Inclusory	GB302_PassiveFree	GB303_AntipassiveFree	GB304_PassiveA-ArgOvert	GB305_PRORefl	GB306_PROReciproc	GB309_MultiplePastFuture	GB312_MoodBoundV	GB313_PROPoss	GB314_AUGgender	GB315_DIMGender	GB316_SingularFree	GB317_DualFree	GB318_PluralFree	GB319_TrialFree	GB320_PaucalFree	GB321_GenderUnpredict	GB322_EvidSense	GB323_EvidIndirect	GB324_QV	GB325_QCountMass	GB326_QInSitu	GB327_RELPost	GB328_RELPre	GB329_RELInternalHead	GB330_RELCorr	GB331_RELAdjoined	GB333_NUMDecimal	GB334_NUMQuinary	GB335_NUMVigesimal	GB336_NUMBodyTally	GB400_PersonNeutralized	GB401_PatientLabile	GB402_VSupplSee	GB403_VSupplCome	GB408_Accusative	GB409_Ergative	GB410_NeutralAlign	GB415_PRO2PPoliteness	GB421_ComplThinkKnowPre	GB422_ComplThinkKnowPost	GB430_POSSPfxPosr	GB431_POSSPfxPosd	GB432_POSSSfxPosr	GB433_POSSSfxPosd	GB519_MoodAuxPart	GB520_AspectAuxPart	GB521_TenseAuxPart	GB522_PRODrop	GB024_NUMOrder_1	GB024_NUMOrder_2	GB024_NUMOrder_3	GB025_DEMOrder_1	GB025_DEMOrder_2	GB025_DEMOrder_3	GB065_POSSPosdPosrOrder_1	GB065_POSSPosdPosrOrder_2	GB065_POSSPosdPosrOrder_3	GB130_OrderSVIntrans_1	GB130_OrderSVIntrans_2	GB130_OrderSVIntrans_3	GB193_OrderADJ_0	GB193_OrderADJ_1	GB193_OrderADJ_2	GB193_OrderADJ_3	GB203_QUANTOrder_0	GB203_QUANTOrder_1	GB203_QUANTOrder_2	GB203_QUANTOrder_3
abad1241	Abadi	-9.03389	146.992	Papunesia	Austronesian					False	False	True	False	False	True	False	False	False	False	False	True	False	True					False	False	False	False	False	False	True		False	False	False	False	False	False	True	True	True	False		False	True		False	True	False	True	True	False	False	False	False	False			True	False	False	False	False	False	True	False	False			False						True				False	False	True					True	False	True													False	False	False	False	False	False		False	True				False	False	False	False	False						False	False	False	True	False	True			False	True	False	False	False	False		False	False	True						True	False	False		True			False	False	False	False	False	False					True						True	False	False	False					False	False	True	False			False	False	False	True				True	False	True	False	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False
abar1238	Mungbam	6.5805	10.2267	Africa	Atlantic-Congo	True	False	False	True	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	True	True		False	True	True	False	False	False	True	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	False	True	False		False	False	False	False	False	False	True	False	False	False	True	True	False	True	False	False	False	False	False	False	False	True	False	False	True		True	False	False	False	True	True	True	False	True	True	True	False	False	False	False	False	True	False						False	False	False	True	False	True	True	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False			True	False	False	False	False	False	True	False	False	False		False	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	True	False					False	False	True	False	False	True	False	False	True	False	False	True	False	True	False	False	False	False	True	False	False	False	True	False
abau1245	Abau	-3.97222	141.324	Papunesia	Sepik	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False					True	True	False	False	True	False	False	False	False	True	True	True	True	False	True	True		False	False	False	True	False	False	False	False	False	False	False				False	False	False	True	False	True	True	False	False	True	False	True		False	True		True		True		True	True		False	False	False	True	True	True	True	True	False	True	False		False	False	False	False	False	True	False		True	True	True																																																																																											False	True	False	False	True	False	True	False	False	True	False	False								
abee1242	Abé	5.59682	-4.38497	Africa	Atlantic-Congo	True	False	False	True		True	False	False	False				False	False	False	False	False	False	False	True	True		False	False	False	False	False	False		False	False	False	False	True		True	False	True	False	False	True		True	True	False	True	False	True	False	False	False	False	False	False	False	False	True	True	False			False	False			False		True	False	False	True	False		True			False	False	True	False		True	True	False	False	False				False	False	False		False	False	False	True	False	False	False	False		False	False	False	False			False			False	False	False	False		True	False	False	False	False						False	False	False	True	False	False						False	False	False	False		False					True	False	False	False	False	False		False	False	False	False	False			False	True	False	False	False	False					False		False	False	False	False	True	False			False	False	False	False	False	False	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False				
aben1249	Abenlen Ayta	15.4131	120.2	Papunesia	Austronesian	False	False	False	False			True	False	False	True	False	False	True	False		False	False	True	False	True	True	True	False	False	False	False	False	False		False	False	True	True	True	True									True													False	False											False	False	False				True			True	False	False			True	False	True		False								False	False		True	True	False	False		False	False	False		True	True	False	True	False	False	False	False	False																							True	True		True								True	False	False	False	False	False	False	False	False				True	False						True	False	False	False					False	True	False	False							True	True			True	False	False	True	False	False				False	True	False								
abip1241	Abipon	-29.0	-61.0	South America	Guaicuruan		False				True	False	True	False	True	False		True	True		False	False	True			True	True	True	False	False	False		False			False	False	False	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	False	False	False	True	False					True	False		True	True	True	True	False	False				True				False		False	False	True	False		True	True	False	True		False				False	False			True	False				False	False	False	True	True		False	True	True		True			False	False		True	True					False	False	False	False	False	False	False	True	False	False	False	False	True	False		False	False	True		False				False	False		True	False	False	False	False	False	False	False	False						False	True	False	False	False	False									False	False	True	False			False	True	False	True	True			True				True	False	False	False	True	False	True	False	False	False	False	False	True	False	True	False	False
abkh1244	Abkhaz	43.056218	41.159115	Eurasia	Abkhaz-Adyge	True	True	True	True	False	True		True	False	True	False	True	False	True	False	False	False	True		True	True	True	True	False	True	False	False	False	False	True	False	False	False	True	False	False	True	True	True	True	True	True	True	True	False	True	False	True	False	True	True	False	True	False	True	False	False	True	True	False	False	False	True	True	True	False	True	True	False	False	False	True	False	False	True		False	False	True	True	True	True	True	True	False	True	True	True	True	False	False	True	False	False	True	False	True	True	True	False	False	False	False	False	False	False	True	True	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	True	False	False	True	True			False	False	False	False	False	False	False	True	False	False		False	True	False	False	False	True	False	True		False	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	True	False
abua1245	Abu' Arapesh	-3.461612	142.917031	Papunesia	Nuclear Torricelli	False	True	True	False	False		False	True	False	False	False	False	False	False	False	True	False	True	False				True	True	False	False	False	False	False	False		False	False	True	True	True	False	True	False	False	False	False	True	False	False	True	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False		True	False	True	False	False	False	True	False	True	True	True	True	False	True		False			False	False	False	False	False	False	False	False	False	False	False		True	True	True	False	True	True	True		False	True	False	False	True		True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True						False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True				False	False	False	True	True	False	False	False			False	False	True	False			False	False	True	False	True	False	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False				
abui1241	Abui	-8.31058	124.588	Papunesia	Timor-Alor-Pantar	True	False	False	True	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True		False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	False		False	False	False	True		False	False	True	False	False	True	False	True	False	True	True	False	False	True	False	False	False	True	True	True	True	True	False	True	True	True	False	False	False	False	False	True	False	False	True	False	False																																																																																											False	True	False	False	False	True	True	False	False	True	False	False								
abun1252	Abun	-0.57073	132.416	Papunesia	Abun	True	True	False	True	False	True	False	False	True	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	True	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	True	True	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False
acha1249	Longchuan Achang	24.3479	97.7438	Eurasia	Sino-Tibetan	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False		False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		False	True	True	False	False	False	False	True	False	True	False	False	False	False	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	True	False	True	False	False	False	False	True	True		False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False		True	False	True	False	False	False	False	False	False	False	True	True	False	True	False	False	True	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	True	False
acha1250	Achagua	4.38649	-72.2005	South America	Arawakan	False	False	False	False	False	True	False	True	False	False	False	False		True	False	False	False	True			True	True	True	False	True	False		False	True	False	False	True	True	True	True	False	True	False	True	False	False	False	True	False	True	True	False	True	True	False	False	True	False	False	False	False		False	False	False	False	False	True	True	True		False	True	True	False	False	False	False	False	True	False	False	False	True	False	True	True	True	False	True	True	True	True	False	False	False	False	False	True	True	False	True	False	False				True			True																True	False	False	False	False								False				False	True						False		True							False				False	False			False	True	False	False			False	True										False			False	False	False	False					True	False	False	True	False	False	True	False	False	True	False	False	False	False	True	False				
ache1245	Acheron	10.8827	30.3187	Africa	Narrow Talodi	False	False	False	False	False		True	False	False	False	False	False	False	False		True	False	True	False				False	True	False	True		False				False	False	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	False				True	True				False		True					False	False	False				False		False	False	True	False			True	False	False				True	False	False									False	False	False	True	True	False		True	True	False	True		False	False	False	False							False	False	False	True	False							False	False	False		False	False	False			False	False		True	False	False	True	False		True	False	False	False	False	False	True			False		False										False				True	False	True	False			False	False	True	False	False	False	False		False	True	False	False	True	False	False	True	False	True	False	False	False	False	True	False				
ache1246	Aché	-25.5865	-56.4697	South America	Tupian							True	False	False	False						False	False	False			True		True							True		False	False	False	False		True		True		False	True	True	True	False	False	False	False	False	False								True			False			False	True		True		True	True	True							False	True	True						True			True	False				True	True		True			False	False									True	True		False	False																		True										False	False		True		True	True	False	False	False	False	False	False	False	False	False				False																	True	False			False	False	False	False	False	False	True	True							True	False	False	True	False	False	False	False	True	False				
achi1256	Achi	15.073	-90.3513	North America	Mayan	True	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False			True	True	False	False	False	False	True	False	True	True	False	False	False	False	True	True	False	True	True	False	False	True	True	True	True	True	False	True	True	True	False	False	True	False	False	False	False	False	True	False		True	True	False	False	False	False		False	True	False	False		False	False		False	False	True	False	True	True	True	False	True				False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	True	True	False		False	False	False	False		False	False	False	True	False	False	False	True	False	False							False	False	False		False	False	True		False	False	False	False	True	True		True	False	False	False	True	False	True	False	False	False	False	True	False		False	True	False	False	False	False					False				False	False	True	True			False	True	False	True	False	False	False	True	True	False	False	True	False	False	False	True	False	True	False	False	False	False	False	True				
achi1257	Acehnese	3.90757	96.6032	Papunesia	Austronesian	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	True	False	True	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	True	False	False	True	False	False	False		False	False	True	False	False	False	True	False	True	True	True	False	False	True		True	False	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False		False	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	True	True	True	False	True	True	False	False	False	True	False	False	True	False	True	False	False	False	False	True	False	False	False	False	True
achu1247	Achumawi	41.0979	-121.191	North America	Palaihnihan	False	True	True	False		False	True	False	True					False		False	False	False	False	True	True	False	False	False	False	False					False	True	True	True	True	False	False	True	True					True		True		True							True	True		True	True			True		True	True				False	False	False				False		False	True	False	False				False	False				True	False	False				True	False				False	False		False	False	False		False		False	False		False	False	False	False							False		True	False	False	False	False	False	True	True	False						True				False	False		False	False	False	True		False	False	False	False	False	False	False	False			False								True	True	False	False					True	False	True				False	False	True	False				True							True	False	False				False	True	False	False				
achu1248	Achuar-Shiwiar	-2.82646	-77.2641	South America	Chicham	False	False	False	False	False	True	False	False	False	False	False	False	False	False		False	False	False	False	True	True	True	False	False	False	False	False	False	True	True	False	True	True	True	True	False	False	False	True	False	False	True	True	True	True	False	True	False	True	False	False	False	True	False	True	False	True	True	True	False	False	False	True	True	True	False	True		False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	False	False	False	False	True	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False		True	False	False	False	False	False	False	False	False	False					False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False			False	False	False	True	False	False	False	False	False	True	False	False	False		False	False	True	False	True	False			False	False	True	True	False	False	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	True
acol1236	Acoli	3.57738	32.5147	Africa	Nilotic	False	False	False	False	False	True	False	False	False	True	False		False	True	True	False	False	True	False	True	True	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	True	True	True	True	False	False	True	False	True	True	False	False	False	False	True	True		True	False	False	False	False	True	False	True	True	False	True	True	True	False	True	False	False	False	True	False	False	False	True	False	True	True	True	False	False	True	False	False	False	False	False		False	False	False	False	True	False	True	False	False		False	False	False	False	False	False	False			False	False	False	False	False	False	True	False	True	True						True	False	True		False					False	False	False	True	False	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	True	False	False	False	True	True	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	False	False	False	True	False	False	False	True	False
adan1251	Adang	-8.18958	124.448	Papunesia	Timor-Alor-Pantar	True	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False				False	False	False	False	True	False	True	True	True	False	True	False	False	False	False	True	True	False	False	False	False	True	False	True	False	False	False	True	False	True	True	False	True	False	True	False	True	False	False	False	True	True	True	False	False	True	False	False	False	False	False	False	True		False	False	False	True	True	True	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False			False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False		False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	False	True	False	True	False	False	False	False	False			True	False	True	False			False	True	False	False	True	False	False	False	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False
adny1235	Adnyamathanha	-30.1451	138.671	Australia	Pama-Nyungan	False	False	False	False	False		False	False		True	False	False	False	False	False	False	True	True	False				False	False	False	False	False	False		False		True		True		True	True	False	True	True	True	True	True	True	True	False	True	False	True	False	False	False	False	False			True	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False		False	False	True	False							False	True	True	False										True	True	True	False	False		False	False	False	False	False	False	False			False	False	False	False	False															True							False	True	False					True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False		False	True	False	False	False	False					False		False	False	False	True	False	False			False	True	False	False	False	False	False	False				True	False	False				True	False	False	False	True	False	False	False	True	False	False
adon1237	Adonara	-8.32027	123.159	Papunesia	Austronesian	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False		False		False	False	False	True	False			True	True	False	True	False	False	False	False	False		False	False			True	True	True	False	False		False	False	False	False	False	False	False			False	False	False	False							True	False	False	True	False	False	False	False	True	True	True	False	False	False		False	False	True		False				False	False	False	False	False	False	False	False	False	False	False	False	False			False		True	True	False	False	False	False	True	False	False	False	False				False	False	True	False			False	False	False	True	False	True	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False				
adze1240	Adzera	-6.39394	146.294	Papunesia	Austronesian	False	False	False	False	False	True	True	False	False	False	False	True	False	False	False	False	False	False	True	True	False						False	False	True			False	False	False	False	True	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		False	True	False	False	False						False	False	True	False	True	True	True	True	False	True	False	False	False	False	False	False	False	True	False		True		True	False	False				False		False	False	False				False	False			False	False	False	False	False	True	False	False	False	False							False	False	False		False	False	True	False	True	False	False	False	False	True	False	True	False			False	False	False	False	False				False	False	True	True	False	False	False	False	False	False	False	False	False		False	True	False	False	True	False	False	False	False	False	False	True	True	True	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False
aeky1238	Aekyom	-5.88478	141.532	Papunesia	Kamula-Elevala	False	False	False	False	False		False	False	True	False	False	False	False	False	False	False	False	False	False			True	False	False	False	False		False	True	False	False	True	True			False	True	True	True	True	True	True	True	True	False	False	False	False	False	False				False				True		True	False	False				False	True			False	False			False			False	False	False	True			True	True	False	True						True	True	True			True			False	False		False	False	False		False	False	False			False	False	False								False	False	False	False	False							False	True	False		False	False	False		False						True	True	True	False	False	True	True	True	False	False	False			False		True						False	False	False	True	False				False	True	False	False	True	True					True	False	False					False	True	False	True	False	False	True	False	False	False	False	True	False				
afad1236	Afade	12.0551	14.6343	Africa	Afro-Asiatic							False	False	False							False	False	True					True	False	False		False		False	True	True		False		False			False	True	False	True			True	False	True	False	True						True				True	True							False						False			False			False	True	False				False	False												False						True		True							False	False	False																								False	False										False			False	False	False	False	False				False								True	False	False	False											False	False	False	True					False	True	False				False	False	True	True	False	False	False	True	False	False				
afar1241	Afar	12.2281	41.8083	Africa	Afro-Asiatic	False	False	False	False	False	True	False	True	False	True	False	False	False	True	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	True	False	True	True	True	True	False	True	True	True	False	True	False	False	True	True	True	True	True	False	False	False	True	False	False	True	False	False	True	False	False	False	True	True	False	False	False	True	True	False	True	True		False	False		False	False	False	False	True	False	True	False	False	False	True	False	False	True	False	False		False	True	True	False	True	True		False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	True	False	False	True	False	False	True	False		False	False	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False			True	False	True	False	False	False	False	False	True	False	False	False	False	True	True	False	False	True	False	False	False	False	True	True	False	False	False	True	False	False	False	False	False	True
aghe1239	Aghem	6.38956	10.0807	Africa	Atlantic-Congo	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	False	True	False		False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	True	False	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True		False	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	True	True	False	False	True	False	False	False	False	True	False	False	True		True	False	False	False	False		False	False	True	False							False	False	False		False	True	False	False	False		False		True	False	True	True	True	False	False	False	False	False	False	False	True	False	False	False		True	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	True	True	True	False	False	True	False	False	True	False	False	False	True	True	False	False	False	False	True	False				
aghu1255	Aghu	-6.34674	140.043	Papunesia	Nuclear Trans New Guinea	False	False	False	False	True	True	False	False	False	True	True	False	False	True	False	False	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True		False	True	True	True	True	False	True	False	False	False	False	False	False	False	True	True	True	True	False	True	False	True	True	False	False	False	True	True	False		False	True		False		True	False	False	False	True	True		True	True	False	False	True	False			False	True	True	False			True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False							False	False	False	False	False	False	True	False					False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	False	False	False	False	True	False	False	False	True	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False				
aghw1237	Aghwan	40.374444	47.126667	Eurasia	Nakh-Daghestanian	True		True	False		True	False	True	False	False	False	False	False	True	False	False	False	True		True	True	False	True	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	True	True	True	False	True	True	False	True	False	True	False	False	False	False		False	False	True	True	True		True			False	False	False	True	False				True	True	False	True		False	False	True	False				False	True	True	True		False	False	False	False	False			True	False	False	True	False	False	False	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	True	False	True	False						False	True	False	False	False	True				False		False	True		False	False	False	False	True	True		True		False	False	False	False	False	False	False	False	False	False	False	True		True	False	False	False	False	True	False	True	False																			True	False	False	True	False	False	False	False	True	True	False	False	False	True	False	False	False	True	False	False
agob1244	Agob-Ende-Kawam	-9.08521	142.532	Papunesia	Pahoturi	False	False	False	False	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	True	True	False	True	True	True	True	True	False	True	False	True	True	False	False	False	False	True	False	True	False	True	True	True	True	True	True	True	False	True	False	False	False	True	True	True	True	True	False	False	False	False	True	True	False	False	False	True	True	True	True	True	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True		False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	False	True	False	False	False	True	True	False	False	True	True	False	True	False	False	False	False	False	True	True	True	False	True	True	False	False	True	False	False	True	True	False	False	True	False	False	False	False	False	True	False	False	False	True
agua1253	Aguaruna	-5.30044	-77.9218	South America	Chicham		True	True		False	True	False	False	False	True	False	True	False	False		False	False	True		True	True	True	False	False		False	False	False		True	False	True	True	True	True	False		False	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	True		True	True		False	False	False	True	True	True	False	True		True	True	True			False	True		False	False	False	True	True	True	False	True	False	True	False	False			False	True	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True					False	False	False	False	False	True	False	False	False	False	False	False	True	False		False	False	False	False						False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	True	False	False	True	False	False	False	False	True	False	False	True	False	False
agus1235	Agusan Manobo	8.62731	125.742	Papunesia	Austronesian				False			False	False	False	False	False	False	False	False		False	False	False					False	False	False	False		False	False	False	True	False	True	False	True	True	False	True	True		False	False	True	False	True	False	True	False	False	False	False	True	False					False		False	False	False				False	False				False	False		False	True			True	False	False				False	True		False		True	False	False									False	False		False	False	True	False						False	False	False	False																				False			True	False			False		True			False	True	False	False	False		False	False	False	False	False	False	False	False												False				True	True	False	False			False	False	False	True			False	True				True	False	False	False	True	False	False	True	False	False	False	False	True				
